14,Caf-Eleven,No,No,4,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Cafes
15,San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Cafes
16,Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Cafes
17,Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes
18,Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Cafes
19,T3H Cafe,No,No,3.9,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Cafes
20,360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,NA,"Cafe, Chinese, Continental, Italian",400,Cafes
21,The Vintage Cafe,Yes,No,3,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Cafes
22,Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Cafes
23,Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,NA,"Cafe, Fast Food",900,Cafes
24,My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Cafes
25,Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,NA,Cafe,300,Cafes
26,CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,NA,"Cafe, Bakery",600,Cafes
27,Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",NA,"Cafe, South Indian",200,Cafes
28,Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,NA,"Cafe, Fast Food, Beverages",500,Cafes
29,Cuppa,No,No,3.3,23,Banashankari,Cafe,NA,"Cafe, Fast Food",550,Cafes
30,Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Cafes
31,Redberrys,Yes,No,4,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Cafes
32,Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,NA
34,Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,NA,"Bakery, Desserts",500,Delivery
35,Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery
36,Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,NA
38,Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery
39,Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,NA,"North Indian, Chinese, Fast Food",400,Delivery
40,Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery
41,Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,NA
43,Maruthi Davangere Benne Dosa,Yes,No,4,17,Banashankari,Quick Bites,NA,South Indian,150,Delivery
44,Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Delivery
45,Havyaka Mess,No,No,3.9,28,Banashankari,Mess,NA,South Indian,300,Delivery
46,McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Delivery
47,Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Delivery
48,Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,NA
50,Hotboxit,No,No,3.8,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,Delivery
51,Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,Delivery
52,Recipe,Yes,No,4,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Delivery
53,Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery
54,Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Delivery
55,Petoo,No,No,3.7,21,Banashankari,Quick Bites,NA,North Indian,450,Delivery
56,Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,NA,"Fast Food, Street Food, Beverages",150,Delivery
57,Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery
58,Biryanis And More,Yes,No,4,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery
59,Roving Feast,No,No,4,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery
60,FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery
61,Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,NA,"Biryani, Fast Food",300,Delivery
62,Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,NA
64,Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,NA,"Fast Food, Burger",200,Delivery
65,XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,NA,"Desserts, Beverages",400,Delivery
66,Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,NA
68,Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery
69,Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,NA,Chinese,150,Delivery
70,1947,No,Yes,4,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Delivery
71,Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",NA,Bakery,150,Delivery
72,Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Delivery
73,Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,NA,South Indian,100,Delivery
74,Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Delivery
75,Sugar Rush,No,No,3.8,39,Banashankari,Bakery,NA,"Bakery, Desserts",300,Delivery
76,Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,NA,"Burger, Fast Food, Beverages",600,Delivery
77,The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",NA,"Italian, North Indian, Biryani",500,Delivery
78,The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Delivery
79,Spicy Tandoor,No,No,0,0,Banashankari,Quick Bites,NA,North Indian,150,Delivery
80,LSD Cafe,No,No,2.9,84,Banashankari,Delivery,NA,"Chinese, Continental, Italian, North Indian",700,NA
82,Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery
83,Om Sri Vinayaka Chats,No,No,0,0,Banashankari,"Takeaway, Delivery",NA,"Street Food, Fast Food",500,Delivery
84,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery
85,Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,NA,"Biryani, South Indian",300,Delivery
86,Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,NA,Fast Food,500,Delivery
87,Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery
88,Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,NA,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery
89,Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery
90,Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,NA,"Mithai, Street Food",200,Delivery
91,Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,NA,"North Indian, Chinese",700,Delivery
93,The Big O Bakes,No,No,4,66,Banashankari,Bakery,NA,"Bakery, Desserts",300,Delivery
94,Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery
95,Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,NA,North Indian,200,Delivery
96,Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,NA,Desserts,500,Delivery
97,Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,NA,Biryani,250,Delivery
101,Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,NA,Ice Cream,300,Delivery
102,Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery
103,Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery
104,Kaggis,No,No,3.8,64,Banashankari,Quick Bites,NA,"Fast Food, Bakery",250,Delivery
105,Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,NA,"North Indian, Iranian",950,Delivery
106,Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery
107,Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
108,Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Delivery
109,Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery
110,Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,NA,"South Indian, Biryani",300,Delivery
111,Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery
112,CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,NA,"Cafe, Bakery",600,Delivery
113,Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,NA,"Bakery, Desserts",300,Delivery
114,Spice 9,No,No,3.4,8,Banashankari,Quick Bites,NA,"Biryani, North Indian, Chinese, Fast Food",300,Delivery
116,Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,NA,Biryani,300,Delivery
117,Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,NA,North Indian,300,Delivery
118,Hari Super Sandwich,No,No,0,0,Banashankari,"Takeaway, Delivery",NA,"Sandwich, Pizza, Beverages",200,Delivery
119,Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,NA,North Indian,150,Delivery
120,Just Bake,No,No,3.4,8,Banashankari,Bakery,NA,"Bakery, Desserts",400,Delivery
127,K27 - The Pub,No,No,3.1,30,Banashankari,Bar,NA,"Chinese, North Indian","1,000",Delivery
128,Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery
129,New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,NA,"Mangalorean, South Indian, North Indian",200,Delivery
130,Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,NA,"Fast Food, South Indian",100,Delivery
131,Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,NA,"Street Food, Fast Food",200,Delivery
132,Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,NA,"Ice Cream, Desserts",200,Delivery
135,Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,NA,South Indian,100,Delivery
138,Roll Magic Fast Food,No,No,0,0,Banashankari,"Takeaway, Delivery",NA,"Biryani, Rolls, Chinese",200,Delivery
139,Foodlieious Multi Cuisine,No,No,0,0,Banashankari,Quick Bites,NA,North Indian,100,Delivery
140,Thanishka Nati And Karavali Style,No,No,0,0,Banashankari,Quick Bites,NA,"Biryani, Fast Food",400,Delivery
151,Melting Melodies,No,No,0,0,Banashankari,"Takeaway, Delivery",NA,"Pizza, Fast Food",100,Delivery
152,New Indraprasta,No,No,0,0,Banashankari,Quick Bites,NA,"South Indian, Beverages",150,Delivery
153,Anna Kuteera,Yes,No,4,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery
154,Darbar,No,No,3,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery
155,Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,NA,South Indian,200,Delivery
156,Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery
157,Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,NA,"South Indian, Chinese, North Indian, Juices",300,Delivery
158,House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery
159,Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery
160,BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery
161,KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery
162,Bitez,No,No,0,0,Banashankari,Quick Bites,NA,Fast Food,100,Delivery
163,Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
164,Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery
165,Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,NA,"Beverages, Juices, Ice Cream",150,Delivery
166,The Fortuna,Yes,No,3,67,Kumaraswamy Layout,Quick Bites,NA,"North Indian, Chinese",250,Delivery
167,Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery
168,Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",NA,Biryani,300,Delivery
169,New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,NA,Biryani,300,Delivery
170,Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery
171,Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",NA,"Desserts, Mithai",300,Delivery
172,The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400,Delivery
173,HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,NA,"South Indian, Chinese",150,Delivery
174,Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese","1,200",Delivery
175,Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150,Delivery
176,Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300,Delivery
177,Kanti Sweets,Yes,No,4,115,Banashankari,Sweet Shop,NA,"Mithai, Street Food",400,Delivery
178,Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",NA,"Italian, Pizza",400,Delivery
179,Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,NA,Biryani,200,Delivery
180,Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,NA,"North Indian, Fast Food, Rolls",250,Delivery
181,Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,NA,Bakery,400,Delivery
182,Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery
183,Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,NA,South Indian,150,Delivery
184,Tandoori Knight,Yes,No,3,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Delivery
185,Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200,Delivery
186,Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250,Delivery
187,Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,NA,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery
188,Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery
189,Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300,Delivery
190,@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Delivery
191,Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,NA,"Fast Food, Italian, Beverages",500,Delivery
192,Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,NA,"Bengali, Chinese, Sandwich",350,Delivery
193,Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Delivery
194,Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery
195,By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,NA,South Indian,100,Delivery
196,Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery
197,Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,NA,South Indian,150,Delivery
198,Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery
199,Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery
200,Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,NA,South Indian,100,Delivery
201,CafDown The Alley,Yes,No,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Delivery
202,Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Delivery
203,Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery
204,Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",200,Delivery
205,Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,Quick Bites,NA,South Indian,300,Delivery
206,Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery
